X--Trace 1::[interactive: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[PR1: I(V1)]
0.9129499999999999,-0.20402116327920794,,0.9129499999999999,0.0021805186437118193
0.9129999999999999,-0.4708940973060435,,0.9129999999999999,0.0027699679223123206
0.9130099999999999,-0.3913142176367044,,0.9130099999999999,0.0024979692256201476
0.9130299999999999,-0.23418951767685126,,0.9130299999999999,0.0019658064554232153
0.9130699999999999,0.068683560176864,,0.9130699999999999,0.000968518950916485
0.9131499999999999,0.6348773077559489,,0.9131499999999999,-0.000793397404802356
0.9132499999999999,1.2818476475535245,,0.9132499999999999,-0.0026383111398714056
0.9133499999999999,1.876968574225276,,0.9133499999999999,-0.004178217233574707
0.9134499999999999,2.4336041116512854,,0.9134499999999999,-0.00549177692221501
0.9135,2.7004770456787908,,0.9135,-0.006081226200816825
0.9135099999999999,2.6209257945120665,,0.9135099999999999,-0.005809227504122509
0.91353,2.463764087326585,,0.91353,-0.0052770647339256405
0.91357,2.160898231711056,,0.91357,-0.004279777229419028
0.91365,1.5947016401500995,,0.91365,-0.00251786087370039
0.91375,0.947733566092684,,0.91375,-0.0006729471386315326
0.9138499999999999,0.35261784359822596,,0.9138499999999999,0.0008669589550716237
0.9139499999999999,-0.20402116327920794,,0.9139499999999999,0.0021805186437118193
0.9139999999999999,-0.4708940973060435,,0.9139999999999999,0.0027699679223123206
0.9140099999999999,-0.3913142176367044,,0.9140099999999999,0.0024979692256201476
0.9140299999999999,-0.23418951767685126,,0.9140299999999999,0.0019658064554232153
0.9140699999999999,0.068683560176864,,0.9140699999999999,0.000968518950916485
0.9141499999999999,0.6348773077559489,,0.9141499999999999,-0.000793397404802356
0.9142499999999999,1.2818476475535245,,0.9142499999999999,-0.0026383111398714056
0.9143499999999999,1.876968574225276,,0.9143499999999999,-0.004178217233574707
0.9144499999999999,2.4336041116512854,,0.9144499999999999,-0.00549177692221501
0.9145,2.7004770456787908,,0.9145,-0.006081226200816825
0.9145099999999999,2.6209257945120665,,0.9145099999999999,-0.005809227504122509
0.91453,2.463764087326585,,0.91453,-0.0052770647339256405
0.91457,2.160898231711056,,0.91457,-0.004279777229419028
0.91465,1.5947016401500995,,0.91465,-0.00251786087370039
0.91475,0.947733566092684,,0.91475,-0.0006729471386315326
0.9148499999999999,0.35261784359822596,,0.9148499999999999,0.0008669589550716237
0.9149499999999999,-0.20402116327920794,,0.9149499999999999,0.0021805186437118193
0.9149999999999999,-0.4708940973060435,,0.9149999999999999,0.0027699679223123206
0.9150099999999999,-0.3913142176367044,,0.9150099999999999,0.0024979692256201476
0.9150299999999999,-0.23418951767685126,,0.9150299999999999,0.0019658064554232153
0.9150699999999999,0.068683560176864,,0.9150699999999999,0.000968518950916485
0.9151499999999999,0.6348773077559489,,0.9151499999999999,-0.000793397404802356
0.9152499999999999,1.2818476475535245,,0.9152499999999999,-0.0026383111398714056
0.9153499999999999,1.876968574225276,,0.9153499999999999,-0.004178217233574707
0.9154499999999999,2.4336041116512854,,0.9154499999999999,-0.00549177692221501
0.9155,2.7004770456787908,,0.9155,-0.006081226200816825
0.9155099999999999,2.6209257945120665,,0.9155099999999999,-0.005809227504122509
0.91553,2.463764087326585,,0.91553,-0.0052770647339256405
0.91557,2.160898231711056,,0.91557,-0.004279777229419028
0.91565,1.5947016401500995,,0.91565,-0.00251786087370039
0.91575,0.947733566092684,,0.91575,-0.0006729471386315326
0.9158499999999999,0.35261784359822596,,0.9158499999999999,0.0008669589550716237
0.9159499999999999,-0.20402116327920794,,0.9159499999999999,0.0021805186437118193
0.9159999999999999,-0.4708940973060435,,0.9159999999999999,0.0027699679223123206
0.9160099999999999,-0.3913142176367044,,0.9160099999999999,0.0024979692256201476
0.9160299999999999,-0.23418951767685126,,0.9160299999999999,0.0019658064554232153
0.9160699999999999,0.068683560176864,,0.9160699999999999,0.000968518950916485
0.9161499999999999,0.6348773077559489,,0.9161499999999999,-0.000793397404802356
0.9162499999999999,1.2818476475535245,,0.9162499999999999,-0.0026383111398714056
0.9163499999999999,1.876968574225276,,0.9163499999999999,-0.004178217233574707
0.9164499999999999,2.4336041116512854,,0.9164499999999999,-0.00549177692221501
0.9165,2.7004770456787908,,0.9165,-0.006081226200816825
0.9165099999999999,2.6209257945120665,,0.9165099999999999,-0.005809227504122509
0.91653,2.463764087326585,,0.91653,-0.0052770647339256405
0.91657,2.160898231711056,,0.91657,-0.004279777229419028
0.91665,1.5947016401500995,,0.91665,-0.00251786087370039
0.91675,0.947733566092684,,0.91675,-0.0006729471386315326
0.9168499999999999,0.35261784359822596,,0.9168499999999999,0.0008669589550716237
0.9169499999999999,-0.20402116327920794,,0.9169499999999999,0.0021805186437118193
0.9169999999999999,-0.4708940973060435,,0.9169999999999999,0.0027699679223123206
0.9170099999999999,-0.3913142176367044,,0.9170099999999999,0.0024979692256201476
0.9170299999999999,-0.23418951767685126,,0.9170299999999999,0.0019658064554232153
0.9170699999999999,0.068683560176864,,0.9170699999999999,0.000968518950916485
0.9171499999999999,0.6348773077559489,,0.9171499999999999,-0.000793397404802356
0.9172499999999999,1.2818476475535245,,0.9172499999999999,-0.0026383111398714056
0.9173499999999999,1.876968574225276,,0.9173499999999999,-0.004178217233574707
0.9174499999999999,2.4336041116512854,,0.9174499999999999,-0.00549177692221501
0.9175,2.7004770456787908,,0.9175,-0.006081226200816825
0.9175099999999999,2.6209257945120665,,0.9175099999999999,-0.005809227504122509
0.91753,2.463764087326585,,0.91753,-0.0052770647339256405
0.91757,2.160898231711056,,0.91757,-0.004279777229419028
0.91765,1.5947016401500995,,0.91765,-0.00251786087370039
0.91775,0.947733566092684,,0.91775,-0.0006729471386315326
0.9178499999999999,0.35261784359822596,,0.9178499999999999,0.0008669589550716237
0.9179499999999999,-0.20402116327920794,,0.9179499999999999,0.0021805186437118193
0.9179999999999999,-0.4708940973060435,,0.9179999999999999,0.0027699679223123206
0.9180099999999999,-0.3913142176367044,,0.9180099999999999,0.0024979692256201476
0.9180299999999999,-0.23418951767685126,,0.9180299999999999,0.0019658064554232153
0.9180699999999999,0.068683560176864,,0.9180699999999999,0.000968518950916485
0.9181499999999999,0.6348773077559489,,0.9181499999999999,-0.000793397404802356
0.9182499999999999,1.2818476475535245,,0.9182499999999999,-0.0026383111398714056
0.9183499999999999,1.876968574225276,,0.9183499999999999,-0.004178217233574707
0.9184499999999999,2.4336041116512854,,0.9184499999999999,-0.00549177692221501
0.9185,2.7004770456787908,,0.9185,-0.006081226200816825
0.9185099999999999,2.6209257945120665,,0.9185099999999999,-0.005809227504122509
0.91853,2.463764087326585,,0.91853,-0.0052770647339256405
0.91857,2.160898231711056,,0.91857,-0.004279777229419028
0.91865,1.5947016401500995,,0.91865,-0.00251786087370039
0.91875,0.947733566092684,,0.91875,-0.0006729471386315326
0.91885,0.35261784359822596,,0.91885,0.0008669589550716237
0.9189499999999999,-0.20402116327920794,,0.9189499999999999,0.0021805186437118193
0.9189999999999999,-0.4708940973060435,,0.9189999999999999,0.0027699679223123206
0.9190099999999999,-0.3913142176367044,,0.9190099999999999,0.0024979692256201476
0.9190299999999999,-0.23418951767685126,,0.9190299999999999,0.0019658064554232153
0.9190699999999999,0.068683560176864,,0.9190699999999999,0.000968518950916485
0.9191499999999999,0.6348773077559489,,0.9191499999999999,-0.000793397404802356
0.9192499999999999,1.2818476475535245,,0.9192499999999999,-0.0026383111398714056
0.9193499999999999,1.876968574225276,,0.9193499999999999,-0.004178217233574707
0.9194499999999999,2.4336041116512854,,0.9194499999999999,-0.00549177692221501
0.9195,2.7004770456787908,,0.9195,-0.006081226200816825
0.9195099999999999,2.6209257945120665,,0.9195099999999999,-0.005809227504122509
0.91953,2.463764087326585,,0.91953,-0.0052770647339256405
0.91957,2.160898231711056,,0.91957,-0.004279777229419028
0.91965,1.5947016401500995,,0.91965,-0.00251786087370039
0.91975,0.947733566092684,,0.91975,-0.0006729471386315326
0.91985,0.35261784359822596,,0.91985,0.0008669589550716237
0.9199499999999999,-0.20402116327920794,,0.9199499999999999,0.0021805186437118193
0.9199999999999999,-0.4708940973060435,,0.9199999999999999,0.0027699679223123206
0.9200099999999999,-0.3913142176367044,,0.9200099999999999,0.0024979692256201476
0.9200299999999999,-0.23418951767685126,,0.9200299999999999,0.0019658064554232153
0.9200699999999999,0.068683560176864,,0.9200699999999999,0.000968518950916485
0.9201499999999999,0.6348773077559489,,0.9201499999999999,-0.000793397404802356
0.9202499999999999,1.2818476475535245,,0.9202499999999999,-0.0026383111398714056
0.9203499999999999,1.876968574225276,,0.9203499999999999,-0.004178217233574707
0.9204499999999999,2.4336041116512854,,0.9204499999999999,-0.00549177692221501
0.9205,2.7004770456787908,,0.9205,-0.006081226200816825
0.9205099999999999,2.6209257945120665,,0.9205099999999999,-0.005809227504122509
0.92053,2.463764087326585,,0.92053,-0.0052770647339256405
0.92057,2.160898231711056,,0.92057,-0.004279777229419028
0.92065,1.5947016401500995,,0.92065,-0.00251786087370039
0.92075,0.947733566092684,,0.92075,-0.0006729471386315326
0.92085,0.35261784359822596,,0.92085,0.0008669589550716237
0.9209499999999999,-0.20402116327920794,,0.9209499999999999,0.0021805186437118193
0.9209999999999999,-0.4708940973060435,,0.9209999999999999,0.0027699679223123206
0.9210099999999999,-0.3913142176367044,,0.9210099999999999,0.0024979692256201476
0.9210299999999999,-0.23418951767685126,,0.9210299999999999,0.0019658064554232153
0.9210699999999999,0.068683560176864,,0.9210699999999999,0.000968518950916485
0.9211499999999999,0.6348773077559489,,0.9211499999999999,-0.000793397404802356
0.9212499999999999,1.2818476475535245,,0.9212499999999999,-0.0026383111398714056
0.9213499999999999,1.876968574225276,,0.9213499999999999,-0.004178217233574707
0.9214499999999999,2.4336041116512854,,0.9214499999999999,-0.00549177692221501
0.9215,2.7004770456787908,,0.9215,-0.006081226200816825
0.9215099999999999,2.6209257945120665,,0.9215099999999999,-0.005809227504122509
