X--Trace 1::[interactive: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[PR2: I(R2)]
0.27280407953297453,-0.9428241014362301,,0.27280407953297453,-0.001460845432730228
0.2728353295329745,-0.8596862039655138,,0.2728353295329745,-0.0012286325969779284
0.2728665795329745,-0.7435110477943915,,0.2728665795329745,-0.0009492040995496423
0.2728978295329745,-0.5987631790219425,,0.2728978295329745,-0.0006332982208946675
0.27292907953297446,-0.4310051770701136,,0.27292907953297446,-0.00029305504676877187
0.27296032953297444,-0.24668388787376344,,0.27296032953297444,0.00005845006845769586
0.2729915795329744,-0.052882675208783855,,0.2729915795329744,0.0004077089803316685
0.2730228295329744,0.1429507890077418,,0.2730228295329744,0.0007412998647377874
0.2730540795329744,0.3332907345704312,,0.2730540795329744,0.0010464030110678149
0.2730853295329744,0.5108225041149929,,0.2730853295329744,0.0013112934765117429
0.27311657953297436,0.6687236512993779,,0.27311657953297436,0.001525791669035978
0.27314782953297434,0.8009261235887011,,0.27314782953297434,0.0016816545433926487
0.2731790795329743,0.9023494541129862,,0.2731790795329743,0.001772892376729349
0.2732103295329743,0.9690960011592821,,0.2732103295329743,0.0017959989502781756
0.2732415795329743,0.9986007323563726,,0.2732415795329743,0.0017500862913757114
0.27327282953297427,0.989729797430763,,0.27327282953297427,0.0016369187977553921
0.27330407953297425,0.942824101436802,,0.27330407953297425,0.0014608454327320513
0.27333532953297424,0.8596862039665065,,0.27333532953297424,0.001228632596980425
0.2733665795329742,0.7435110477952349,,0.2733665795329742,0.0009492040995516923
0.2733978295329742,0.598763179023317,,0.2733978295329742,0.0006332982208975962
0.2734290795329742,0.43100517707166214,,0.2734290795329742,0.0002930550467718537
0.27346032953297417,0.24668388787564685,,0.27346032953297417,-0.000058450068454158165
0.27349157953297415,0.052882675210724595,,0.27349157953297415,-0.00040770898032822404
0.27352282953297413,-0.14295078900604336,,0.27352282953297413,-0.0007412998647349951
0.2735540795329741,-0.33329073456881325,,0.2735540795329741,-0.0010464030110653238
0.2735853295329741,-0.5108225041135176,,0.2735853295329741,-0.001311293476509649
0.2736165795329741,-0.668723651297933,,0.2736165795329741,-0.001525791669034041
0.27364782953297406,-0.8009261235876735,,0.27364782953297406,-0.0016816545433915927
0.27367907953297405,-0.9023494541123446,,0.27367907953297405,-0.0017728923767290608
0.27371032953297403,-0.9690960011588587,,0.27371032953297403,-0.0017959989502782906
0.273741579532974,-0.9986007323562698,,0.273741579532974,-0.0017500862913764016
0.273772829532974,-0.9897297974309758,,0.273772829532974,-0.0016369187977566162
0.273804079532974,-0.9428241014373739,,0.273804079532974,-0.0014608454327338634
0.27383532953297396,-0.8596862039673832,,0.27383532953297396,-0.0012286325969826906
0.27386657953297394,-0.7435110477965345,,0.27386657953297394,-0.000949204099554614
0.2738978295329739,-0.5987631790248736,,0.2738978295329739,-0.0006332982209008249
0.2739290795329739,-0.4310051770732106,,0.2739290795329739,-0.00029305504677487235
0.2739603295329739,-0.24668388787730988,,0.2739603295329739,0.00005845006845109798
0.2739915795329739,-0.05288267521243827,,0.2739915795329739,0.0004077089803252409
0.27402282953297386,0.14295078900411984,,0.27402282953297386,0.000741299864731776
0.27405407953297384,0.33329073456719527,,0.27405407953297384,0.0010464030110628577
0.2740853295329738,0.5108225041122377,,0.2740853295329738,0.0013112934765079495
0.2741165795329738,0.6687236512966571,,0.2741165795329738,0.0015257916690324244
0.2741478295329738,0.8009261235865098,,0.2741478295329738,0.0016816545433902578
0.27417907953297377,0.9023494541116049,,0.27417907953297377,0.0017728923767285824
0.27421032953297375,0.9690960011584354,,0.27421032953297375,0.0017959989502784135
0.27424157953297373,0.9986007323561791,,0.27424157953297373,0.0017500862913771217
0.2742728295329737,0.9897297974312536,,0.2742728295329737,0.0016369187977579684
0.2743040795329737,0.9428241014380216,,0.2743040795329737,0.0014608454327358165
0.2743353295329737,0.8596862039682598,,0.2743353295329737,0.0012286325969849442
0.27436657953297366,0.7435110477976822,,0.27436657953297366,0.0009492040995572355
0.27439782953297365,0.5987631790258838,,0.27439782953297365,0.0006332982209030201
0.27442907953297363,0.4310051770749643,,0.27442907953297363,0.00029305504677834754
0.2744603295329736,0.24668388787897294,,0.2744603295329736,-0.0000584500684479998
0.2744915795329736,0.0528826752139249,,0.2744915795329736,-0.00040770898032265466
0.2745228295329736,-0.1429507890024214,,0.2745228295329736,-0.0007412998647289283
0.27455407953297356,-0.3332907345653629,,0.27455407953297356,-0.0010464030110599078
0.27458532953297354,-0.5108225041107625,,0.27458532953297354,-0.0013112934765058329
0.2746165795329735,-0.6687236512953811,,0.2746165795329735,-0.0015257916690307872
0.2746478295329735,-0.8009261235854823,,0.2746478295329735,-0.0016816545433891636
0.2746790795329735,-0.9023494541108653,,0.2746790795329735,-0.001772892376728073
0.2747103295329735,-0.969096001157956,,0.2747103295329735,-0.001795998950278401
0.27474157953297346,-0.9986007323560883,,0.27474157953297346,-0.0017500862913778217
0.27477282953297344,-0.9897297974314989,,0.27477282953297344,-0.001636918797759241
0.2748040795329734,-0.9428241014384421,,0.2748040795329734,-0.0014608454327373242
0.2748353295329734,-0.8596862039692525,,0.2748353295329734,-0.0012286325969874327
0.2748665795329734,-0.7435110477988297,,0.2748665795329734,-0.0009492040995598566
0.27489782953297337,-0.5987631790274404,,0.27489782953297337,-0.0006332982209062552
0.27492907953297335,-0.4310051770765128,,0.27492907953297335,-0.0002930550467813728
0.27496032953297334,-0.24668388788085632,,0.27496032953297334,0.000058450068444514085
